Consultant,Date,Hours,Client,Project_x,Project_y,Hourly Rate,revenue
James Anderson,2/10/2024,3,Global Systems,Project 16,Project 15,70,210
James Anderson,2/10/2024,3,Global Systems,Project 16,Project 16,70,210
James Anderson,2/10/2024,3,Global Systems,Project 16,Project 17,70,210
James Anderson,2/10/2024,3,Global Systems,Project 16,Project 18,70,210
James Anderson,2/10/2024,3,Global Systems,Project 16,Project 19,70,210
James Anderson,2/10/2024,7,Global Systems,Project 16,Project 15,70,490
James Anderson,2/10/2024,7,Global Systems,Project 16,Project 16,70,490
James Anderson,2/10/2024,7,Global Systems,Project 16,Project 17,70,490
James Anderson,2/10/2024,7,Global Systems,Project 16,Project 18,70,490
James Anderson,2/10/2024,7,Global Systems,Project 16,Project 19,70,490
Sophia Martinez,2/10/2024,8,Global Systems,Project 16,Project 15,70,560
Sophia Martinez,2/10/2024,8,Global Systems,Project 16,Project 16,70,560
Sophia Martinez,2/10/2024,8,Global Systems,Project 16,Project 17,70,560
Sophia Martinez,2/10/2024,8,Global Systems,Project 16,Project 18,70,560
Sophia Martinez,2/10/2024,8,Global Systems,Project 16,Project 19,70,560
Michael Brown,2/10/2024,6,Innovate Ltd,Project 11,Project 11,55,330
Michael Brown,2/10/2024,6,Innovate Ltd,Project 11,Project 12,55,330
Michael Brown,2/10/2024,6,Innovate Ltd,Project 11,Project 13,55,330
Michael Brown,2/10/2024,6,Innovate Ltd,Project 11,Project 14,55,330
Michael Brown,2/10/2024,1,Innovate Ltd,Project 12,Project 11,55,55
Michael Brown,2/10/2024,1,Innovate Ltd,Project 12,Project 12,55,55
Michael Brown,2/10/2024,1,Innovate Ltd,Project 12,Project 13,55,55
Michael Brown,2/10/2024,1,Innovate Ltd,Project 12,Project 14,55,55
Michael Brown,2/10/2024,8,Innovate Ltd,Project 12,Project 11,55,440
Michael Brown,2/10/2024,8,Innovate Ltd,Project 12,Project 12,55,440
Michael Brown,2/10/2024,8,Innovate Ltd,Project 12,Project 13,55,440
Michael Brown,2/10/2024,8,Innovate Ltd,Project 12,Project 14,55,440
Emily Davis,2/10/2024,8,Global Systems,Project 18,Project 15,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 18,Project 16,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 18,Project 17,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 18,Project 18,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 18,Project 19,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 16,Project 15,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 16,Project 16,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 16,Project 17,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 16,Project 18,70,560
Emily Davis,2/10/2024,8,Global Systems,Project 16,Project 19,70,560
Emily Davis,2/10/2024,7,Global Systems,Project 16,Project 15,70,490
Emily Davis,2/10/2024,7,Global Systems,Project 16,Project 16,70,490
Emily Davis,2/10/2024,7,Global Systems,Project 16,Project 17,70,490
Emily Davis,2/10/2024,7,Global Systems,Project 16,Project 18,70,490
Emily Davis,2/10/2024,7,Global Systems,Project 16,Project 19,70,490
Emily Davis,2/10/2024,6,Global Systems,Project 19,Project 15,70,420
Emily Davis,2/10/2024,6,Global Systems,Project 19,Project 16,70,420
Emily Davis,2/10/2024,6,Global Systems,Project 19,Project 17,70,420
Emily Davis,2/10/2024,6,Global Systems,Project 19,Project 18,70,420
Emily Davis,2/10/2024,6,Global Systems,Project 19,Project 19,70,420
Daniel Wilson,2/10/2024,2,Global Systems,Project 18,Project 15,70,140
Daniel Wilson,2/10/2024,2,Global Systems,Project 18,Project 16,70,140
Daniel Wilson,2/10/2024,2,Global Systems,Project 18,Project 17,70,140
Daniel Wilson,2/10/2024,2,Global Systems,Project 18,Project 18,70,140
Daniel Wilson,2/10/2024,2,Global Systems,Project 18,Project 19,70,140
William Thomas,2/10/2024,5,NextGen Analytics,Project 24,Project 20,65,325
William Thomas,2/10/2024,5,NextGen Analytics,Project 24,Project 21,65,325
William Thomas,2/10/2024,5,NextGen Analytics,Project 24,Project 22,65,325
William Thomas,2/10/2024,5,NextGen Analytics,Project 24,Project 23,65,325
William Thomas,2/10/2024,5,NextGen Analytics,Project 24,Project 24,65,325
Ava Harris,2/10/2024,7,Acme Corp,Project 1,Project 1,50,350
Ava Harris,2/10/2024,7,Acme Corp,Project 1,Project 2,50,350
Ava Harris,2/10/2024,7,Acme Corp,Project 1,Project 3,50,350
Ava Harris,2/10/2024,7,Acme Corp,Project 1,Project 4,50,350
Ava Harris,2/10/2024,7,Acme Corp,Project 1,Project 5,50,350
Benjamin Lewis,2/10/2024,1,NextGen Analytics,Project 21,Project 20,65,65
Benjamin Lewis,2/10/2024,1,NextGen Analytics,Project 21,Project 21,65,65
Benjamin Lewis,2/10/2024,1,NextGen Analytics,Project 21,Project 22,65,65
Benjamin Lewis,2/10/2024,1,NextGen Analytics,Project 21,Project 23,65,65
Benjamin Lewis,2/10/2024,1,NextGen Analytics,Project 21,Project 24,65,65
Benjamin Lewis,2/10/2024,4,NextGen Analytics,Project 21,Project 20,65,260
Benjamin Lewis,2/10/2024,4,NextGen Analytics,Project 21,Project 21,65,260
Benjamin Lewis,2/10/2024,4,NextGen Analytics,Project 21,Project 22,65,260
Benjamin Lewis,2/10/2024,4,NextGen Analytics,Project 21,Project 23,65,260
Benjamin Lewis,2/10/2024,4,NextGen Analytics,Project 21,Project 24,65,260
Benjamin Lewis,2/10/2024,6,NextGen Analytics,Project 20,Project 20,65,390
Benjamin Lewis,2/10/2024,6,NextGen Analytics,Project 20,Project 21,65,390
Benjamin Lewis,2/10/2024,6,NextGen Analytics,Project 20,Project 22,65,390
Benjamin Lewis,2/10/2024,6,NextGen Analytics,Project 20,Project 23,65,390
Benjamin Lewis,2/10/2024,6,NextGen Analytics,Project 20,Project 24,65,390
Charlotte Walker,2/10/2024,2,Acme Corp,Project 2,Project 1,50,100
Charlotte Walker,2/10/2024,2,Acme Corp,Project 2,Project 2,50,100
Charlotte Walker,2/10/2024,2,Acme Corp,Project 2,Project 3,50,100
Charlotte Walker,2/10/2024,2,Acme Corp,Project 2,Project 4,50,100
Charlotte Walker,2/10/2024,2,Acme Corp,Project 2,Project 5,50,100
Charlotte Walker,2/10/2024,7,Acme Corp,Project 1,Project 1,50,350
Charlotte Walker,2/10/2024,7,Acme Corp,Project 1,Project 2,50,350
Charlotte Walker,2/10/2024,7,Acme Corp,Project 1,Project 3,50,350
Charlotte Walker,2/10/2024,7,Acme Corp,Project 1,Project 4,50,350
Charlotte Walker,2/10/2024,7,Acme Corp,Project 1,Project 5,50,350
Henry Hall,2/10/2024,3,Acme Corp,Project 5,Project 1,50,150
Henry Hall,2/10/2024,3,Acme Corp,Project 5,Project 2,50,150
